CodObr,NumPar,NumSec,Cont,FechaIni,FechaFin,CanPar,CantDias,RenPar2,PartBase,Porcentaje
"576PDVS2",100,1,,"04/27/23 00:00:00","12/05/23 00:00:00",6.3360000000000000e+03,1.5900000000000000e+02,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",101,1,,"04/27/23 00:00:00","04/28/23 00:00:00",6.4000000000000000e+01,2.0000000000000000e+00,3.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",361,1,,"04/27/23 00:00:00","10/05/23 00:00:00",5.7600000000000000e+02,1.1600000000000000e+02,5.0000000000000000e+00,259,0.0000000000000000e+00
"576PDVS2",102,1,,"04/27/23 00:00:00","05/12/23 00:00:00",5.7600000000000000e+02,1.2000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",103,1,,"04/27/23 00:00:00","05/30/23 00:00:00",2.8800000000000000e+03,2.4000000000000000e+01,1.2000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",104,1,,"04/27/23 00:00:00","07/17/23 00:00:00",5.7600000000000000e+02,5.8000000000000000e+01,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",106,1,,"04/27/23 00:00:00","03/11/24 00:00:00",7.9579600000000000e+03,2.2800000000000000e+02,3.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",107,1,,"04/27/23 00:00:00","08/18/23 00:00:00",1.2276850000000000e+04,8.2000000000000000e+01,1.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",108,1,,"04/27/23 00:00:00","06/29/23 00:00:00",3.1675400000000000e+03,4.6000000000000000e+01,7.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",109,1,,"04/27/23 00:00:00","06/23/23 00:00:00",6.1895100000000002e+03,4.2000000000000000e+01,1.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",110,1,,"04/27/23 00:00:00","07/21/23 00:00:00",1.2379020000000000e+04,6.2000000000000000e+01,2.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",111,1,,"04/27/23 00:00:00","05/17/23 00:00:00",1.4400000000000000e+03,1.5000000000000000e+01,1.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",112,1,,"04/27/23 00:00:00","02/19/24 00:00:00",5.3052799999999997e+03,2.1300000000000000e+02,2.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",113,1,,"04/27/23 00:00:00","03/14/24 00:00:00",5.7600000000000000e+03,2.3100000000000000e+02,2.5000000000000000e+01,0,0.0000000000000000e+00
