CodEqu,CodFam,CosEqu,CosDia,Deprec,Transp,FecEqu,Dep01,Provee,Man01,Rep01,PorNacImp,TipEqu,Importado,CodAlt,Descri
"EQUI0014","00",2.9039999999999999e+01,2.8999999999999998e-01,1.0000000000000000e-02,,"12/10/08 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BANDEJA METALICA PARA RODILLO (9"")(CERDEX)"
"EQUI0015","00",6.0000000000000000e+01,5.9999999999999998e-01,1.0000000000000000e-02,,"01/30/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BARRA METALICA DE 1.47 Mts PARA HACER HOYOS"
"EQUI0019","00",1.3252000000000001e+02,1.3252000000000001e+02,1.0000000000000000e+00,,"01/31/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BOMBA HIDROSTATICA DE PRESION CAP=1000 LIBRAS"
"EQUI0020","00",2.6315999999999999e+03,2.6320000000000000e+01,1.0000000000000000e-02,,"02/17/09 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BOMBA MANUAL PARA PRUEBAS HIDRAULICAS C/FILTRO"
"EQUI0023","00",8.0000000000000000e+00,8.0000000000000002e-02,1.0000000000000000e-02,,"02/17/09 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BROCHA PROFESIONAL RUBI MARCA CERDEX 1"""
"EQUI0024","00",8.0000000000000000e+00,8.0000000000000002e-02,1.0000000000000000e-02,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BROCHA PROFESIONAL RUBI MARCA CERDEX 2"""
"EQUI0025","00",8.0000000000000000e+00,8.0000000000000002e-02,1.0000000000000000e-02,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BROCHA PROFESIONAL RUBI MARCA CERDEX 3"""
"EQUI0026","00",8.0000000000000000e+00,8.0000000000000002e-02,1.0000000000000000e-02,,"04/24/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"BROCHA PROFESIONAL RUBI MARCA CERDEX 4"""
"EQUI0028","00",5.0000000000000000e+01,5.0000000000000003e-02,1.0000000000000000e-03,,"01/30/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CALCULADORA HP49G+ O SIMILAR"
"EQUI0031","00",1.2000000000000000e+02,1.2000000000000000e+02,1.0000000000000000e+00,,"01/31/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CAMION CESTA MARCA KODIAK"
"EQUI0035","01",5.2000000000000000e+04,1.8668000000000001e+02,3.5899999999999999e-03,,"01/31/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CAMION DE VOLTEO FORD 350 (CHASIS-CABINA) 8 CILINDROS"
"EQUI0042","00",2.5000000000000000e+02,2.5000000000000000e+02,1.0000000000000000e+00,,"01/31/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CAMION GRUA CAP.4 - 6 TON"
"EQUI0051","00",1.2000000000000000e+02,1.2000000000000000e+02,1.0000000000000000e+00,,"01/30/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CAMIONETA PICK-UP FORD F-150 SINCRONICA 6 CILIND. 4x2"
"EQUI0053","00",1.2000000000000000e+02,1.2000000000000000e+00,1.0000000000000000e-02,,"02/17/09 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CARETA PARA SOLDAR CON VISERA"
"EQUI0059","00",3.5000000000000000e+02,3.5000000000000000e+02,1.0000000000000000e+00,,"03/08/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CARGADOR DE RUEDAS CAT 980H 5.4 M3"
"EQUI0061","00",8.0000000000000000e+01,2.8000000000000003e-01,3.5000000000000001e-03,,"01/30/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"CARRETILLA RUEDA DE NEUMATICAS BATEA CAP= 55Lts"
