CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0001171","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30223,
"P0001172","EQUI0025",6.0000000000000000e+00,1.0000000000000000e-02,30224,
"P0001172","EQUI0074",4.0000000000000000e+00,1.0000000000000000e-02,30225,
"P0001172","EQUI0177",6.0000000000000000e+00,1.0000000000000000e-02,30226,
"P0001172","EQUI0318",6.0000000000000000e+00,1.0000000000000000e-02,30227,
"P0001172","EQUI0275",4.0000000000000000e+00,1.0000000000000000e-02,30228,
"P0001172","EQUI0020",4.0000000000000000e+00,1.0000000000000000e-02,30229,
"P0001172","EQUI0061",6.0000000000000000e+00,3.5000000000000001e-03,30230,
"P0001173","EQUI0025",1.0000000000000000e+00,1.0000000000000000e-02,30231,
"P0001173","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30232,
"P0001173","EQUI0177",1.0000000000000000e+00,1.0000000000000000e-02,30233,
"P0001173","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30234,
"P0001173","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30235,
"P0001173","EQUI0020",1.0000000000000000e+00,1.0000000000000000e-02,30236,
"P0001173","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30237,
"P0001209","EQUI0025",1.0000000000000000e+00,1.0000000000000000e-02,30238,
"P0001209","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30239,
"P0001209","EQUI0177",1.0000000000000000e+00,1.0000000000000000e-02,30240,
"P0001209","EQUI0318",6.0000000000000000e+00,1.0000000000000000e-02,30241,
"P0001209","EQUI0275",6.0000000000000000e+00,1.0000000000000000e-02,30242,
"P0001209","EQUI0247",6.0000000000000000e+00,1.0000000000000000e-02,30243,
"P0001209","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30244,
"P0001211","EQUI0025",1.0000000000000000e+00,1.0000000000000000e-02,30245,
"P0001211","EQUI0074",4.0000000000000000e+00,1.0000000000000000e-02,30246,
"P0001211","EQUI0177",6.0000000000000000e+00,1.0000000000000000e-02,30247,
"P0001211","EQUI0318",6.0000000000000000e+00,1.0000000000000000e-02,30248,
"P0001211","EQUI0275",6.0000000000000000e+00,1.0000000000000000e-02,30249,
"P0001211","EQUI0247",4.0000000000000000e+00,1.0000000000000000e-02,30250,
"P0001211","EQUI0061",4.0000000000000000e+00,3.5000000000000001e-03,30251,
"P0001217","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30252,
"P0001217","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30253,
"P0001217","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30254,
"P0001217","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30255,
"P0001217","EQUI0247",1.0000000000000000e+00,1.0000000000000000e-02,30256,
"P0001217","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30257,
"P0001250","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30258,
"P0001250","EQUI0001",1.0000000000000000e+00,1.0000000000000000e-02,30259,
"P0001250","EQUI0177",1.0000000000000000e+00,1.0000000000000000e-02,30260,
"P0001250","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30261,
"P0001250","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30262,
"P0001250","EQUI0247",1.0000000000000000e+00,1.0000000000000000e-02,30263,
"P0001250","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30264,
"P0001251","EQUI0074",1.0000000000000000e+00,1.0000000000000000e-02,30265,
"P0001251","EQUI0001",1.0000000000000000e+00,1.0000000000000000e-02,30266,
"P0001251","EQUI0177",1.0000000000000000e+00,1.0000000000000000e-02,30267,
"P0001251","EQUI0318",1.0000000000000000e+00,1.0000000000000000e-02,30268,
"P0001251","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30269,
"P0001251","EQUI0247",1.0000000000000000e+00,1.0000000000000000e-02,30270,
"P0001251","EQUI0061",1.0000000000000000e+00,3.5000000000000001e-03,30271,
"P0001303","EQUI0351",1.0000000000000000e+00,1.0000000000000000e-02,30272,
"P0001303","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30273,
"P0001303","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30274,
"P0001303","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30275,
"P0001303","EQUI0233",2.0000000000000000e+00,1.0000000000000000e-02,30276,
"P0001321","EQUI0116",1.0000000000000000e+00,1.0000000000000000e-02,30277,
"P0001321","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30278,
"P0001321","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30279,
"P0001367","EQUI0279",8.0000000000000000e+00,1.0000000000000000e-02,30280,
"P0001367","EQUI0116",2.0000000000000000e+00,1.0000000000000000e-02,30281,
"P0001367","EQUI0069",2.0000000000000000e+00,1.0000000000000000e-02,30282,
"P0001367","EQUI0063",4.0000000000000000e+00,3.5500000000000002e-03,30283,
